source,target
acesfulfame potassium,artificial and natural coloring
acesfulfame potassium,artificial and natural flavors
acesfulfame potassium,aspartame
acesfulfame potassium,bht
acesfulfame potassium,caffeine
acesfulfame potassium,calcium chloride
acesfulfame potassium,calcium phosphate
acesfulfame potassium,citric acid
acesfulfame potassium,corn syrup
acesfulfame potassium,dextrose
acesfulfame potassium,glycerin
acesfulfame potassium,guar gum
acesfulfame potassium,gum arabic
acesfulfame potassium,malic acid
acesfulfame potassium,maltodextrin
acesfulfame potassium,potassium citrate
acesfulfame potassium,salt
acesfulfame potassium,sodium benzoate
acesfulfame potassium,sodium citrate
acesfulfame potassium,soy lecithin
acesfulfame potassium,starch
acesfulfame potassium,sucralose
acesfulfame potassium,sugar
acesfulfame potassium,vitamins
acesfulfame potassium,water
acetic acid,artificial and natural coloring
acetic acid,artificial and natural flavors
acetic acid,garlic
acetic acid,salt
acetic acid,seasoning
acetic acid,sodium benzoate
acetic acid,soybean
acetic acid,spices
acetic acid,sugar
acetic acid,tomato paste
acetic acid,tomatoes
acetic acid,vegetable oil
acetic acid,water
almonds,artificial and natural flavors
almonds,butter
almonds,cashews
almonds,garlic
almonds,guar gum
almonds,maltodextrin
almonds,milk
almonds,onion
almonds,peanuts
almonds,pecans
almonds,salt
almonds,seasoning
almonds,spices
almonds,sugar
almonds,vegetable oil
almonds,whey
annatto,artificial and natural coloring
annatto,artificial and natural flavors
annatto,ascorbic acid
annatto,butter
annatto,butter milk
annatto,cheddar cheese
annatto,citric acid
annatto,corn syrup
annatto,dextrose
annatto,disodium guanylate
annatto,disodium inosinate
annatto,flour
annatto,garlic
annatto,leavening
annatto,malic acid
annatto,maltodextrin
annatto,milk
annatto,monosodium glutamate
annatto,onion
annatto,paprika
annatto,parmesan cheese
annatto,parsley
annatto,pectin
annatto,polysorbate
annatto,salt
annatto,silicon dioxide
annatto,sodium caseinate
annatto,sodium citrate
annatto,sodium phosphates
annatto,sodium stearoyl lactylate
annatto,soy lecithin
annatto,soybean
annatto,spices
annatto,sugar
annatto,water
annatto,whey
annatto,yeast
apple,artificial and natural coloring
apple,artificial and natural flavors
apple,carrageenan
apple,citric acid
apple,coconut
apple,corn syrup
apple,dextrose
apple,guar gum
apple,honey
apple,leavening
apple,malic acid
apple,maltodextrin
apple,molasses
apple,potassium sorbate
apple,salt
apple,sesame seeds
apple,sodium benzoate
apple,spices
apple,starch
apple,sugar
apple,vanilla
apple,vegetable oil
apple,vitamins
apple,water
apple,whey
apple,xanthan gum
apple,yeast
apple juice concentrate,artificial and natural flavors
apple juice concentrate,ascorbic acid
apple juice concentrate,citric acid
apple juice concentrate,pectin
apple juice concentrate,vitamins
apple juice concentrate,water
artificial and natural coloring,artificial and natural coloring
artificial and natural coloring,artificial and natural flavors
artificial and natural coloring,ascorbic acid
artificial and natural coloring,aspartame
artificial and natural coloring,baking soda
artificial and natural coloring,barley malt extract
artificial and natural coloring,beta carotene
artificial and natural coloring,bht
artificial and natural coloring,butter
artificial and natural coloring,butter milk
artificial and natural coloring,caffeine
artificial and natural coloring,calcium carbonate
artificial and natural coloring,calcium chloride
artificial and natural coloring,calcium disodium edta
artificial and natural coloring,calcium phosphate
artificial and natural coloring,calcium propionate
artificial and natural coloring,calcium sulfate
artificial and natural coloring,carnauba wax
artificial and natural coloring,carrageenan
artificial and natural coloring,celery
artificial and natural coloring,cellulose gum
artificial and natural coloring,cheddar cheese
artificial and natural coloring,chicken
artificial and natural coloring,chocolate
artificial and natural coloring,citric acid
artificial and natural coloring,cocoa
artificial and natural coloring,coconut
artificial and natural coloring,corn syrup
artificial and natural coloring,cream
artificial and natural coloring,datem
artificial and natural coloring,dextrose
artificial and natural coloring,diglycerides
artificial and natural coloring,disodium guanylate
artificial and natural coloring,disodium inosinate
artificial and natural coloring,dough conditioners
artificial and natural coloring,eggs
artificial and natural coloring,flour
artificial and natural coloring,folic acid
artificial and natural coloring,fructose
artificial and natural coloring,garlic
artificial and natural coloring,gelatin
artificial and natural coloring,glycerin
artificial and natural coloring,guar gum
artificial and natural coloring,gum arabic
artificial and natural coloring,honey
artificial and natural coloring,hydrolyzed soy protein
artificial and natural coloring,lactic acid
artificial and natural coloring,lactose
artificial and natural coloring,leavening
