source,target
artificial and natural coloring,artificial and natural coloring
artificial and natural coloring,artificial and natural flavors
artificial and natural coloring,ascorbic acid
artificial and natural coloring,aspartame
artificial and natural coloring,baking soda
artificial and natural coloring,barley malt extract
artificial and natural coloring,beta carotene
artificial and natural coloring,bht
artificial and natural coloring,butter
artificial and natural coloring,butter milk
artificial and natural coloring,caffeine
artificial and natural coloring,calcium carbonate
artificial and natural coloring,calcium chloride
artificial and natural coloring,calcium disodium edta
artificial and natural coloring,calcium phosphate
artificial and natural coloring,calcium propionate
artificial and natural coloring,calcium sulfate
artificial and natural coloring,carnauba wax
artificial and natural coloring,carrageenan
artificial and natural coloring,celery
artificial and natural coloring,cellulose gum
artificial and natural coloring,cheddar cheese
artificial and natural coloring,chicken
artificial and natural coloring,chocolate
artificial and natural coloring,citric acid
artificial and natural coloring,cocoa
artificial and natural coloring,coconut
artificial and natural coloring,corn syrup
artificial and natural coloring,cream
artificial and natural coloring,datem
artificial and natural coloring,dextrose
artificial and natural coloring,diglycerides
artificial and natural coloring,disodium guanylate
artificial and natural coloring,disodium inosinate
artificial and natural coloring,dough conditioners
artificial and natural coloring,eggs
artificial and natural coloring,flour
artificial and natural coloring,folic acid
artificial and natural coloring,fructose
artificial and natural coloring,garlic
artificial and natural coloring,gelatin
artificial and natural coloring,glycerin
artificial and natural coloring,guar gum
artificial and natural coloring,gum arabic
artificial and natural coloring,honey
artificial and natural coloring,hydrolyzed soy protein
artificial and natural coloring,lactic acid
artificial and natural coloring,lactose
artificial and natural coloring,leavening
artificial and natural coloring,lemon juice concentrate
artificial and natural coloring,malic acid
artificial and natural coloring,maltodextrin
artificial and natural coloring,milk
artificial and natural coloring,molasses
artificial and natural coloring,mono diglycerides
artificial and natural coloring,monosodium glutamate
artificial and natural coloring,onion
artificial and natural coloring,paprika
artificial and natural coloring,parmesan cheese
artificial and natural coloring,parsley
artificial and natural coloring,peanut butter
artificial and natural coloring,peanuts
artificial and natural coloring,pecans
artificial and natural coloring,pectin
artificial and natural coloring,phosphoric acid
artificial and natural coloring,polysorbate
artificial and natural coloring,potassium chloride
artificial and natural coloring,potassium citrate
artificial and natural coloring,potassium sorbate
artificial and natural coloring,potatoes
artificial and natural coloring,pyridoxine hydrochloride
artificial and natural coloring,raisins
artificial and natural coloring,reduced iron
artificial and natural coloring,riboflavin
artificial and natural coloring,rice flour
artificial and natural coloring,salt
artificial and natural coloring,silicon dioxide
artificial and natural coloring,sodium benzoate
artificial and natural coloring,sodium caseinate
artificial and natural coloring,sodium citrate
artificial and natural coloring,sodium phosphates
artificial and natural coloring,sodium stearoyl lactylate
artificial and natural coloring,sorbic acid
artificial and natural coloring,soy flour
artificial and natural coloring,soy lecithin
