prod_name,img_url,ingredients,salt,sugar,fat,sat_fat,kcal,nova,nutri_score
Barilla Whole Grain Pasta,https://i5.walmartimages.com/asr/f4345058-e4f1-429c-bf18-556c9c7985d5.3aa9f363d8942bc9bddc2a0744bb4707.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,"pectin,potassium chloride,wheat gluten,xanthan gum",0.01%,3.57%,3%,0.00%,375,1,A
Reduced fat milk,https://i5.walmartimages.com/asr/670fdbc0-a12a-493e-a0d1-5e1fff84e200_1.c1a08125c47d543ab975f0c484225aaa.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"calcium sulfate,carrageenan,corn syrup,enzymes,maltodextrin,salt,sodium phosphates,starch,sugar,vinegar,water",0.14%,5.00%,2%,1%,54,1,B
Campbell's tomato juice,https://i5.walmartimages.com/asr/d9112a72-62bf-4c6b-9064-7346b562bad5_1.288533f1030903c95f72a5bc64057242.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"artificial and natural flavors,citric acid,salt,vitamins",0.38%,2.48%,0%,0%,100,3,B
Vegetable Oil,https://i5.walmartimages.com/asr/253f1923-e10f-4f48-9377-152277d62f19.7ea3893efe88c112101da24df3bd3754.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"canola oil,sunflower oil,tbhq",0.00%,0%,100%,7%,857,2,C
Dry roasted peanuts,https://i5.walmartimages.com/asr/a92768c3-4a70-4652-9eed-0b576da4bc5a.ac6de45525a6140c726e6030e74dd51c.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"cashews,cottonseed oil,peanuts,salt",0.67%,3.57%,50%,7.14%,607,3,C
Maple Syrup,https://i5.walmartimages.com/asr/1c6ab734-8eef-47bc-9c25-26313de6d6d8.d932bc7e87c5898b7148c048198ab0b8.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"artificial and natural coloring,artificial and natural flavors,citric acid,corn syrup,sodium benzoate,water",0.46%,5%,0%,0%,15,2,C
Buttermilk Biscuit,https://i5.walmartimages.com/asr/af8db9c6-6555-4d13-a929-93fdc57d731a.b4cf355d611b1c8a4c57e0f4f54d4bf6.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"artificial and natural flavors,malic acid,salt,sodium citrate,vitamin d,water",1.94%,9%,10%,4%,310,4,D
"Eggplant, with salt, drained, boiled, cooked",https://cdn.shopify.com/s/files/1/0398/6119/0820/products/127-224_570x570_crop_top.jpg?v=1672666824,"acetic acid,artificial and natural flavors,canola oil,garlic,salt,seasoning,sodium benzoate,soybean,spices,sugar,tomato paste,tomatoes",0.89%,2.04%,3%,0%,78,3,B
Kashi cereal,https://i5.walmartimages.com/asr/1727cb44-1e11-4702-8bd5-0e66baa6836b.634dceaf4fe44ac96d0f3d35f478e7f2.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"artificial and natural coloring,artificial and natural flavors,bht,folic acid,honey,reduced iron,riboflavin,salt,sugar,thiamine,vitamins,zinc oxide",0.81%,17.70%,8%,1%,338,4,B
"Pickles, sweet, with cauliflower onion mustard, chowchow",https://i5.walmartimages.com/asr/fd571444-0ef0-429b-81eb-f5d12929731b.b41b4fbb82c59f81fabbda03cfd3b3fd.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"artificial and natural coloring,artificial and natural flavors,calcium chloride,polysorbate,salt,vinegar,xanthan gum",0.73%,0.00%,0%,0%,0,4,C
American Cheese,https://i5.walmartimages.com/asr/0305f720-6c11-4656-a312-45c1d4008015.5b9d67d70d3db3d39dc7673a8d3613ab.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,"annatto,artificial and natural coloring,artificial and natural flavors,butter milk,cheddar cheese,citric acid,corn syrup,disodium guanylate,disodium inosinate,flour,garlic,leavening,malic acid,milk,monosodium glutamate,onion,paprika,parmesan cheese,parsley,polysorbate,salt,sodium caseinate,sodium phosphates,sodium stearoyl lactylate,soy lecithin,soybean,spices,sugar,whey,yeast",1.63%,0%,32%,21.40%,392,3,D
